Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
лајсна-т-профил-20-жолта-заобл-gprt20,Лајсна Т-профил 20 жолта заобл. GPRT20,Лајсна Т-профил 20 жолта заобл. GPRT20<br>Шифра 10760,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,178.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-т-профил-20-мат-заобл-gprt20,Лајсна Т-профил 20 мат заобл. GPRT20,Лајсна Т-профил 20 мат заобл. GPRT20<br>Шифра 10744,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,178.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-т-профил-15-жолта-gprt15,Лајсна Т-профил 15 жолта GPRT15,Лајсна Т-профил 15 жолта GPRT15<br>Шифра 10759,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,150.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-т-профил-15-мат-gprt15,Лајсна Т-профил 15 мат GPRT15,Лајсна Т-профил 15 мат GPRT15<br>Шифра 10212,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,150.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-преодна-50-жолта-gpra-50,Лајсна преодна 50 жолта GPRA 50,Лајсна преодна 50 жолта GPRA 50<br>Шифра 10758<br>,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,217.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-преодна-50-мат-gpra50,Лајсна преодна 50 мат GPRA50,Лајсна преодна 50 мат GPRA50<br>Шифра 10757<br>,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,217.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-преодна-40-жолта-gpra40,Лајсна преодна 40 жолта GPRA40,Лајсна преодна 40 жолта GPRA40<br>Шифра 10756,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,173.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-преодна-40-мат-gpra40,Лајсна преодна 40 мат GPRA40,Лајсна преодна 40 мат GPRA40<br>Шифра 10211,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,173.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-преодна-30-жолта-gpra30,Лајсна преодна 30 жолта GPRA30,Лајсна преодна 30 жолта GPRA30<br>Шифра 10755,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,134.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-преодна-30-мат-gpra30,Лајсна преодна 30 мат GPRA30,Лајсна преодна 30 мат GPRA30<br>Шифра 10191,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,134.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-за-скали-12-жолта-bbua12,Лајсна за скали 12 жолта BBUA12,Лајсна за скали 12 жолта BBUA12<br>Шифра 10429,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,178.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-за-скали-12-мат-bbua12,Лајсна за скали 12 мат BBUA12,<span>Лајсна за скали 12 мат BBUA12 </span><br><span>Шифра 10194</span><br><br>,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,178.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-за-скали-10-мат-еко-bbue10,Лајсна за скали 10 мат еко BBUE10,Лајсна за скали 10 мат еко BBUE10<br>Шифра 10099,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,117.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-за-скали-10-жолта-bbua10,Лајсна за скали 10 жолта BBUA10,Лајсна за скали 10 жолта BBUA10<br>Шифра 10378,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,156.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсна-за-скали-10-мат-bbua10,Лајсна за скали 10 мат BBUA10,Лајсна за скали 10 мат BBUA10<br>Шифра <br>,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,156.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-алумин-12-внатрешна-fcie12,Лајсни за плочки алумин 12 внатрешна FCIE12,Лајсни за плочки алумин 12 внатрешна FCIE12<br>Шифра 10260,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,117.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-алумин-12-кром-еко-fcdek12,Лајсни за плочки алумин 12 кром еко FCDEK12,Лајсни за плочки алумин 12 кром еко FCDEK12<br>Шифра 10730,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,145.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-алумин-12-жолта-еко-fcde12,Лајсни за плочки алумин 12 жолта еко FCDE12,Лајсни за плочки алумин 12 жолта еко FCDE12<br>Шифра 10259,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,100.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-алумин-12-мат-еко-fcde12,Лајсни за плочки алумин 12 мат еко FCDE12,Лајсни за плочки алумин 12 мат еко FCDE12<br>Шифра 10661,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,100.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-алумин-10-кром-еко-fcdek10,Лајсни за плочки алумин 10 кром еко FCDEK10,Лајсни за плочки алумин 10 кром еко FCDEK10<br>Шифра 10660,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,117.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-алумин-10-жолта-еко-fcde10,Лајсни за плочки алумин 10 жолта еко FCDE10,Лајсни за плочки алумин 10 жолта еко FCDE10<br>Шифра 10258,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,78.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-алумин-10-мат-еко-fcde10,Лајсни за плочки алумин 10 мат еко FCDE10,Лајсни за плочки алумин 10 мат еко FCDE10<br>Шифра 10437,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,78.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-алумин-10-кром-fcdak10,Лајсни за плочки алумин 10 кром FCDAK10,Лајсни за плочки алумин 10 кром FCDAK10<br>Шифра 10213,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,252.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-алумин-10-жолта-fcda10,Лајсни за плочки алумин 10 жолта FCDA10,Лајсни за плочки алумин 10 жолта FCDA10 <br>Шифра 10766,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,156.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-алумин-10-мат-fcda-10,Лајсни за плочки алумин 10 мат FCDA10,Лајсни за плочки алумин 10 мат FCDA10<br>Шифра 10188,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,156.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-внатрешни-pvc-12,Лајсни за плочки внатрешни PVC 12,Лајсни за плочки внатрешни PVC 12<br>Шифра 19026,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,35.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-надворешни-pvc-12,Лајсни за плочки надворешни PVC 12,Лајсни за плочки надворешни PVC 12<br>Шифра 10436,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,35.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-надворешни-pvc-сиви-11,Лајсни за плочки надворешни PVC сиви 10,Лајсни за плочки надворешни PVC сиви 10<br>Шифра 10645,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,26.70,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-надворешни-pvc-крем-11,Лајсни за плочки надворешни PVC крем 10,Лајсни за плочки надворешни PVC крем 10<br>Шифра 10644,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,26.70,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-надворешни-pvc-бели-11,Лајсни за плочки надворешни PVC бели 10,<span>Лајсни за плочки надворешни PVC бели </span><span>10<br>Шифра 10643<br></span>,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,26.70,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-надворешни-pvc-сиви-10,Лајсни за плочки надворешни PVC сиви 10,Лајсни за плочки надворешни PVC сиви 10<br>Шифра 10639,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,26.70,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-надворешни-pvc-крем-10,Лајсни за плочки надворешни PVC крем 10,Лајсни за плочки надворешни PVC крем 10<br>Шифра 10638,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,26.70,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
лајсни-за-плочки-надворешни-pvc-бели-10,Лајсни за плочки надворешни PVC бели 10,Лајсни за плочки надворешни PVC бели 10<br>Шифра 10641,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,26.70,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
табла-спратна-ог-36-ка,Табла спратна ОГ 36-ка,Табла спратна ОГ 36-ка<br>Шифра 30221,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,660.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5749_c5a5a687-3fa6-44bb-a6e5-76396c848575.jpg?v=1576244126,1,,false,,,,,,,,,,,,,,,,,kg,,
табла-спратна-ог-24-ка,Табла спратна ОГ 24-ка,Табла спратна ОГ 24-ка<br>Шифра 30075,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,490.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5747_46433f3e-9af3-4c0d-ad0f-176de45f9972.jpg?v=1576244143,1,,false,,,,,,,,,,,,,,,,,kg,,
табла-спратна-ог-16-ка,Табла спратна ОГ 16-ка,Табла спратна ОГ 16-ка<br>Шифра 30077,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,400.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5741_fc442e2b-3c44-4869-bbce-746af3dc749e.jpg?v=1576244163,1,,false,,,,,,,,,,,,,,,,,kg,,
табла-спратна-ог-12-ка,Табла спратна ОГ 12-ка,Табла спратна ОГ 12-ка<br>Шифра 30556,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5741_9294d321-bfe0-4598-aadd-00c3cef70e96.jpg?v=1576244183,1,,false,,,,,,,,,,,,,,,,,kg,,
табла-спратна-ог-8-9-ка,Табла спратна ОГ 8/9-ка,Табла спратна ОГ 8/9-ка<br>Шифра 30581,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,230.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5741_846a1a84-38bc-4f8e-8781-6ffeb23b2d9f.jpg?v=1576244092,1,,false,,,,,,,,,,,,,,,,,kg,,
табла-спратна-ог-6-ка,Табла спратна ОГ 6-ка,Табла спратна ОГ 6-ка<br>Шифра 30717,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,190.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5741_840c0dbf-b76a-425b-aa96-b9293c1be36c.jpg?v=1576244109,1,,false,,,,,,,,,,,,,,,,,kg,,
табла-спратна-уградна-36-ка,Табла спратна уградна 36-ка,Табла спратна уградна 36-ка<br>Шифра 30261,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,690.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5749.jpg?v=1576244015,1,,false,,,,,,,,,,,,,,,,,kg,,
табла-спратна-уградна-24-ка,Табла спратна уградна 24-ка,Табла спратна уградна 24-ка<br>Шифра 30262,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,490.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5747.jpg?v=1576244042,1,,false,,,,,,,,,,,,,,,,,kg,,
табла-спратна-уградна-16-ка,Табла спратна уградна 16-ка,Табла спратна уградна 16-ка<br>Шифра 30263,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,400.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5741_b443591a-4e86-44e6-87c0-a2c54e3f40eb.jpg?v=1576244058,1,,false,,,,,,,,,,,,,,,,,kg,,
табла-спратна-уградна-12-ка,Табла спратна уградна 12-ка,Табла спратна уградна 12-ка<br>Шифра 30264,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5741_36ffab09-8a00-4693-ac0e-652525000d09.jpg?v=1576244074,1,,false,,,,,,,,,,,,,,,,,kg,,
табла-спратна-уградна-8-9-ка,Табла спратна уградна 8/9-ка,Табла спратна уградна 8/9-ка<br>Шифра 30265,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,230.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5741.jpg?v=1576243963,1,,false,,,,,,,,,,,,,,,,,kg,,
табла-спратна-уградна-6-ка,Табла спратна уградна 6-ка,Табла спратна уградна 6-ка<br>Шифра 30266,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,continue,manual,190.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5741_e3ff19c0-bb78-49f5-b53f-5886c9bfc6db.jpg?v=1576243990,1,,false,,,,,,,,,,,,,,,,,kg,,
аспиратор-2-мотори,Аспиратор 2-мотори,Аспиратор 2-мотори<br>Шифра 33635,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,1960.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,
ормар-box-330-250-140,Ормар BOX 330*250*140,Ормар BOX 330*250*140<br>Шифра 33876,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,850.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/33876.jpg?v=1576577318,1,,false,,,,,,,,,,,,,,,,,kg,,
ормар-box-280-210-130,Ормар BOX 280*210*130,Ормар BOX 280*210*130<br>Шифра 33875,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,650.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/33876_7f6d3962-76bd-4629-bad9-bb1a3572762b.jpg?v=1576577339,1,,false,,,,,,,,,,,,,,,,,kg,,
сајла-за-кабел-30м,Сајла за кабел 30м,Сајла за кабел 30м<br>Шифра 33394,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,670.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5750_d15d26af-ff7d-4b5f-bc19-26a5780ed721.jpg?v=1576235274,1,,false,,,,,,,,,,,,,,,,,kg,,
сајла-за-кабел-25м,Сајла за кабел 25м,Сајла за кабел 25м<br>Шифра 31670,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,555.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5750_81bf37dd-3e13-44d5-b297-d6f4f229cd92.jpg?v=1576235234,1,,false,,,,,,,,,,,,,,,,,kg,,
сајла-за-кабел-20м,Сајла за кабел 20м,Сајла за кабел 20м<br>Шифра 31669,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,445.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5750_854c151a-36c0-4e97-bb0d-719b23edddb6.jpg?v=1576235144,1,,false,,,,,,,,,,,,,,,,,kg,,
сајла-за-кабел-15м,Сајла за кабел 15м,Сајла за кабел 15м<br>Шифра 31668,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,335.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5750_962c8af7-cc91-4a2b-b7fe-65a46ed89de3.jpg?v=1576235085,1,,false,,,,,,,,,,,,,,,,,kg,,
сајла-за-кабел-10м,Сајла за кабел 10м,Сајла за кабел 10м<br>Шифра 31667,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,225.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5750_27db1b52-9987-4a42-a7f1-472824f51213.jpg?v=1576234108,1,,false,,,,,,,,,,,,,,,,,kg,,
сајла-за-кабел-5м,Сајла за кабел 5м,Сајла за кабел 5м<br>Шифра 31666,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,126.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/IMG_5750.jpg?v=1576234057,1,,false,,,,,,,,,,,,,,,,,kg,,
плафоњерка-со-сензор,Плафоњерка со сензор,Плафоњерка со сензор<br>Шифра 31998,agnesa.mk,"","",true,Title,Default Title,,,,,"",0,,0,deny,manual,515.00,,true,true,"",https://cdn.shopify.com/s/files/1/0254/9789/4996/products/Plafonjerka_senzor.jpg?v=1576233726,1,,false,,,,,,,,,,,,,,,,,kg,,
